TrackName,ArtistName,Genre,Energy,Danceability,Valence,Popularity,TrackCover,TrackPreview
Señorita,Shawn Mendes,pop,55,76,75,79,https://www.lahiguera.net/musicalia/artistas/shawn_mendes/disco/9115/tema/21072/shawn_mendes_senorita-portada.jpg,https://open.spotify.com/embed/track/0TK2YIli7K1leLovkQiNik
China,Anuel AA,reggaeton,81,79,61,92,https://i1.wp.com/www.emisorasmusicales.net/inc/uploads/2020/04/Anuel-AA-China.jpg?fit=500%2C500&ssl=1,https://open.spotify.com/embed/track/2ksOAxtIxY8yElEWw8RhgK
boyfriend,Ariana Grande,pop,80,40,70,85,https://www.lahiguera.net/musicalia/artistas/varios/disco/0/tema/21298/boyfriend-portada.jpg,https://open.spotify.com/embed/track/0Ryd8975WihbObpp5cPW1t
Beautiful People,Ed Sheeran,pop,65,64,55,86,https://www.songstraducidas.com/imgs-bands/2/op-1571932066.jpg,https://open.spotify.com/embed/track/4evmHXcjt3bTUHD1cvny97
Goodbyes,Post Malone,rap,65,58,18,94,https://www.dodmagazine.es/wp-content/uploads/2019/09/post-malone-hollywoods-bleeding.jpg,https://open.spotify.com/embed/track/0t3ZvGKlmYmVsDzBJAXK8C
I Don't Care,Ed Sheeran,pop,68,80,84,84,https://jenesaispop.com/wp-content/uploads/2019/05/edsheeran-idontcare.jpg,https://open.spotify.com/embed/track/3HVWdVOQ0ZA45FuZGSfvns
Ransom,Lil Tecca,trap,64,75,23,92,https://img.discogs.com/aPap3xIStabM4kgSF2zoM3zmUn0=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-14417349-1574103794-9294.jpeg.jpg,https://open.spotify.com/embed/track/1lOe9qE0vR9zwWQAOk6CoO
How Do You Sleep?,Sam Smith,pop,68,48,35,90,https://www.alexurbanpop.com/wp-content/uploads/2019/07/Sam-Smith-How-Do-You-Sleep-500x500.jpg,https://open.spotify.com/embed/track/6b2RcmUt1g9N9mQ3CbjX2Y
Old Town Road - Remix,Lil Nas X,rap,62,88,64,87,https://s3.amazonaws.com/broadtime_photo/418461074602,https://open.spotify.com/embed/track/2YpeDb67231RjR0MgVLzsG
bad guy,Billie Eilish,electropop,43,70,56,95,https://lastfm.freetls.fastly.net/i/u/770x0/ca848c12851bc2fa4a09bcc6f6e226c5.jpg,https://open.spotify.com/embed/track/2Fxmhks0bxGSBdJ92vM42m
Callaita,Bad Bunny,reggaeton,62,61,24,93,https://i.pinimg.com/564x/f3/ff/1f/f3ff1f7e3a2cefbb2407d60085eb285d.jpg,https://open.spotify.com/embed/track/2TH65lNHgvLxCKXM3apjxI
Loco Contigo,DJ Snake,pop,71,82,38,86,https://images.genius.com/0c22b85fa06b85f4878785b3479e4dbd.1000x1000x1.jpg,https://open.spotify.com/embed/track/6osaMSJh9NguagEDQcZaKx
Someone You Loved,Lewis Capaldi,pop,41,50,45,88,https://i.pinimg.com/736x/24/1c/01/241c012fa263e1b21c0793e6806ad05d.jpg,https://open.spotify.com/embed/track/7qEHsqek33rTcFNT9PFqLf
Otro Trago - Remix,Sech,reggaeton,79,73,76,87,https://i.pinimg.com/originals/fc/36/94/fc3694cd92f4e7ff58264a13ae4a4fd8.jpg,https://open.spotify.com/embed/track/4bTZeO72FwMa6wKOiqoynL
Money In The Grave,Drake,hip hop,50,83,10,92,https://www.fotoconciertos.com/wp-content/uploads/2019/06/drake_omerta_money_in_the_grave.jpg,https://open.spotify.com/embed/track/5ry2OE6R2zPQFDO85XkgRb
No Guidance,Chris Brown,pop,45,70,14,82,https://i.pinimg.com/originals/2f/2b/6b/2f2b6b10dfae1c4780922bd3b176091f.jpg,https://open.spotify.com/embed/track/6XHVuErjQ4XNm6nDPVCxVX
LA CANCIÓN,J Balvin,reggaeton,65,75,43,90,https://images-na.ssl-images-amazon.com/images/I/71u5qaVO%2BAL._SL1500_.jpg,https://open.spotify.com/embed/track/0fea68AdmYNygeTGI4RC18
